label,text
0,"Con Xiaomi này dùng quá tệ, pin rất tệ."
0,"Lớp kính bề mặt quá mỏng và cảm ứng dễ bị liệt hàng hoặc liệt toàn bộ là đặc điểm dễ nhận thấy trên sản phẩm của Sony và LG! Sony, LG đã tự làm mất lượng khách hàng khá lớn khi họ cho ra mắt những sản phẩm cao cấp mà không chú ý hoàn thiện chất lượng cảm ứng cũng như kính bảo vệ. Việc tích hợp phím chức năng vào trong màn hình cũng là một sai lầm nghiêm trọng. Là người bán điện thoại, chúng tôi rất sợ khi phải bảo hành sản phẩm của LG và Sony! Có thể có bạn vào đây ném đá: ""Tôi đang dùng Sony, LG đây, chất lượng rất tốt, không sao cả!"". Xin thưa, bạn chỉ dùng một vài cái còn chúng tôi bán cả vài ngàn cái. Nếu tôi bán Samsung hoặc iphone, tôi rất yên tâm về cảm ứng của máy và không lo vụ loạn hay liệt cảm ứng."
1,Mê quá !
0,"Đồng ý vs bạn, mình từ Zen2 qua SF1. Mình khá hối hận vì chuyển qua SF1 vì camera chụp ko đc đẹp, máy thỉnh thoảng bị lag mặc dù 3GB RAM (ko chơi game nặng nha)."
0,"Gia vị món phở quá khét, ăn không vô."
1,"Mình rất hài lòng với iPad, wifi hoàn hảo, rất tốt."
1,"ôi đẳng cấp quá, 2 sim 2 sóng online :))"
0,Táo làm gì có cửa mà đem so với một siêu phẩm như vậy trời?
0,"Không thể chấp nhận được món kem này, quá khô."
1,"Mới ăn thử trà sữa ở đây, vị rất ngon lắm luôn."
0,Mới mua con Surface này về mà thấy chậm cực kỳ.
0,Mua HP về dùng thử mà thấy quá chán quá.
1,Pin này vô cùng đỉnh
0,"Món mì xào vị nhạt, không đáng tiền tí nào."
0,"Không thể chấp nhận được món bánh xèo này, quá khét."
0,Với tầm giá này mà Asus đơ vậy là không đáng tiền.
1,"Viền dải kim loại nhìn cũng đẹp mà bạn, còn viền kim loại được build trên mấy con cao cấp thôi."
0,Mới ăn thử lẩu ở đây mà thấy chán cực kỳ.
1,Với tầm giá này thì Samsung là nhẹ nhất rồi.
0,Giá khá đắt
1,"mỏng, nặng đầm tay, nghe nhạc tốt, lọc âm thanh như V8 mua về thay cho con 1280 ngay."
0,Dẫn vợ đi ăn kem mà bố chê tanh quá.
0,"Mình rất thất vọng với gà rán, nước chấm nguội ngắt, đồ ăn nhạt nhẽo."
1,Đẹp quá chất quá mê em này rồi 6s nhìn chán chán xấu xấu đc mỗi thương hiệu
1,Quán này vịt quay là ngon miệng nhất rồi.
0,"Nokia thiết kế lỗi, màn hình thì chậm vãi."
0,"Món cà phê ở quán này quá tệ quá, ăn mấy ngày là thấy mất vệ sinh."
0,Với tầm giá này mà iPad quá tệ vậy là không đáng tiền.
0,"Món gỏi cuốn ở quán này mặn quá, ăn vài tháng là thấy nhạt nhẽo."
1,Quán này bánh xèo là rất ngon nhất rồi.
0,Dẫn vợ đi ăn phở mà chồng chê ngấy quá.
1,"Con Samsung này dùng bền, pin rất bền."
1,"Món bún bò ở quán này chuẩn vị cực kỳ, ăn vài hôm vẫn ghiền."
1,đẹp quá.
1,"Mình rất thích gỏi cuốn ở đây, quán phục vụ đậm đà, đồ ăn rất ngon."
1,Nếu thật như vậy thì NOTE7 quá đỉnh!
1,"ZenBook UX303 này thu hút ghê nhỉ, màn hình cảm ứng luôn. Lúc nào mà không có chuột thì đây cũng là giải pháp tối ưu trong việc thao tác nhanh."
1,"cái anh thấy là giao diện của winpro bên dòng máy khác thì phải ,còn cái này đúng là rom 6.5 smartphone mà ,nó tương tự rom 6.1 thêm một ít tiện ích và chức năng ,đặc biệt chạy ít hao pin .."
1,"Món bún bò ngon hết sẩy, gia vị ngon miệng."
1,"Mình rất hài lòng với Macbook, cảm ứng đẹp, vẫn mượt."
0,Mới ăn thử gà rán ở đây mà thấy nhạt cực kỳ.
1,Với tầm giá này thì LG là đẳng cấp nhất rồi.
1,"Không có gì để chê ở món cà phê này, quá vừa miệng."
1,Bồ kết nhất chất lượng hình ảnh của TV samsung đó.
0,"Mình rất thất vọng với Huawei, pin chán, hay bị vô dụng."
1,"HP đẳng cấp quá, xài vài tháng rồi vẫn ok lắm."
0,"Huawei thiết kế quá tệ, wifi thì không xài được."
0,"Không thể chấp nhận được Lenovo, quá tệ."
0,"Không thể chấp nhận được iPhone, quá bình thường."
0,"Mình rất thất vọng với Realme, màn hình yếu, hay bị yếu xìu."
1,"Xiaomi mượt mà quá, xài mấy ngày rồi vẫn không nóng máy."
0,"Món pizza ở quán này không tươi quá, ăn suốt mấy tháng là thấy nhạt nhẽo."
0,Mới ăn thử cà phê ở đây mà thấy quá kém cực kỳ.
0,Mới ăn thử phở ở đây mà thấy dở cực kỳ.
0,Máy cực kỳ lag
1,"Bản 6.5 này được cái theme đẹp hơn 6.1 , có thêm một số tính năng mới (như regedit , sytem clear, java ..) tuy nhiên nó lại bớt đi coreplayer và đặc biệt là putsmail ( trước đây dùng bản 6.1 khi có mail thì microsoft exchange nó đẩy ngay về máy )."
1,Quán này gỏi cuốn là giòn nhất rồi.
1,"Món pizza ngon hết sẩy, gia vị giòn."
1,"Con iPhone này dùng tuyệt vời, pin phê lắm."
1,đẹp thật
0,chẳn có gì đột phá về ngoại hình
1,"Không có gì để chê ở món nem cuốn này, quá ngon."
0,Quán này đồ ăn dở vậy là không đáng tiền.
1,"không bạn ạ, ngày xưa hay bị chập chơn vì chưa lên được quốc tế, bây giờ dùng thậm chí sóng còn tốt hơn 1 số dòng máy ở nhà."
0,"Món nem cuốn vị không tươi, không đáng tiền tí nào."
1,"Acer thiết kế đẹp, màn hình dùng rất sướng."
1,"Mới tậu con LG này về, sang trọng cực kỳ luôn."
0,vẻ bên ngoài không mấy thay đổi ! làm cho người dùng cảm thấy nhàm chán
0,"Không thể chấp nhận được món gà rán này, quá chua lè."
1,"Không có gì để chê ở Sony, quá sắc nét."
0,"Không thể chấp nhận được món gà rán này, quá quá tệ."
1,"Không có gì để chê ở AirPods, quá tuyệt vời."
1,"Mới tậu con Xiaomi này về, ngon lành cực kỳ luôn."
0,"Con Oppo này dùng bình thường, pin sụt pin nhanh."
1,"Dẫn vợ đi ăn gà rán, bạn bè khen đậm đà."
1,chưa bao giờ mong em đấy ra nhanh như lúc này để 4.5 xuống giá hot em về động phòng chơi đợi mỏi cổ quá
0,"J7 đi bạn, camera cùng 13m nhưng M4 chụp hình xấu tệ hại luôn, khả năng bắt nét cực kém."
0,"Đang dùng hết pin thì sao đây, iphone ngày càng thiết kế dở tệ hết sáng tạo rồi."
0,"Không thể chấp nhận được món bún bò này, quá quá tệ."
1,"đen phối vàng nhìn bí ẩn thật , tuyệt !"
0,"AirPods lỗi quá, xài suốt mấy tháng là thấy sụt pin nhanh."
0,Apple có vẻ đã cạn kiệt ý tưởng. Iphone 7 với phiên bản như thế này thì tôi sẽ lựa chọn Samsung s7
0,Mới ăn thử pizza ở đây mà thấy tanh cực kỳ.
1,"D300+35 f1.8 là quá đủ rồi, màu sắc đẹp,auto wb chuẩn, đo sáng ko chê chỗ nào, thiếu sáng có flast cóc, pin trâu chụp cả 1.000 shots...."
1,"Chuẩn đấy bác, em setting đc 3G rùi. Công nhận em này đẹp, em cầm đi chơi mà ai ai cũng muốn cầm xem. Đợt sắp tới thì chỉ sợ ko đủ sức cầm hàng về thui."
1,"Món gà rán ngon hết sẩy, gia vị chuẩn vị."
1,Với tầm giá này thì Samsung là tốt nhất rồi.
0,Mua HP về dùng thử mà thấy quá tệ quá.
0,"AirPods thiết kế mờ, camera thì nóng máy."
1,"Con Oppo này dùng tuyệt vời, pin không bị lag."
0,"Viền cạnh dưới quá to. Quá bảo thủ với kiểu thiết kế này, không hợp thời. Ắt sẽ lại thất bại !"
0,"Chụp trong điều kiện thiếu sáng có vẻ không tốt lắm, phải dùng lightroom mới kích màu và làm trong hình ảnh được thì không ổn."
1,"Dẫn em gái đi ăn mì quảng, vợ khen quá đã."
1,"Chỉ thích bbos, bb chạy android bây h giống như Apple sxuat tivi. BBos kho ứng dụng nghèo nàn nhưng độ ổn định cực tốt, tại sao không bỏ tiền ra phát triển cái bbos mà phai chạy theo cái hdh mở lởm chởm, chắp vá, được cái trực quan, dễ phát triển tý chứ android ngốn ram, ngốn đủ thứ,virus hoành hành. Android giống như lắp 1 chiếc xe đồ chơi chỉ có 4 cái bánh còn phần trên ai muốn lắp gì cũng dc, được nhiều nguời thích vì nó thị hiếu, gần giống như nhạc của Sơn Tùng MTP. Đó là ý kiến cá nhân."
1,"Không có gì để chê ở Dell, quá hoàn hảo."
1,"Dẫn em trai đi ăn bún bò, người yêu khen rất ngon."
0,"Con Acer này dùng xấu, pin không xài được."
0,"Gia vị món gỏi cuốn quá đắng, ăn không vô."
0,"Asus chán quá, xài vài tháng là thấy loạn cảm ứng."
1,Sản phẩm này cực kỳ đẹp
1,"Không có gì để chê ở Acer, quá ngon lành."
1,"Mình rất hài lòng với Xiaomi, màn hình phù hợp, dùng rất sướng."
0,Với tầm giá này mà AirPods lỗi vậy là không đáng tiền.
1,"Món bánh xèo ở quán này thơm cực kỳ, ăn vài tháng vẫn ghiền."
0,Mới ăn thử nướng ở đây mà thấy chua cực kỳ.
1,Màn hình này hoàn toàn bền
1,"Món bún chả ở quán này vừa miệng cực kỳ, ăn suốt mấy tháng vẫn ghiền."
0,"Surface lag quá, xài suốt mấy tháng là thấy không đáng tiền."
1,"Mình rất hài lòng với Xiaomi, thiết kế cao cấp, đẹp."
1,"Dẫn chồng đi ăn bún bò, con khen ngon tuyệt."
0,"Mình rất thất vọng với Samsung, cấu hình bình thường, hay bị quá cùi."
0,"Hết ý tưởng, ios 10 còn làm cái trò mèo ấn nút home mở màn hình thì 3 bữa ra đi cái nút home, Apple làm cái trò mèo gì vậy không biết."
1,"Món mì quảng vị chất lượng, decor làm rất chuẩn vị."
0,"Món phở ở quán này quá tệ quá, ăn suốt mấy tháng là thấy quá tệ."
0,Mới ăn thử nướng ở đây mà thấy khô cực kỳ.
0,"Không thể chấp nhận được Lenovo, quá mờ."
0,"Thôi, bái bai iphone luôn, quá mất thể diện và quá kém cỏi. nên đuổi ngay tim cóc may ra có người làm tốt mới lấy lại được danh tiếng cho apple. Giờ chỉ có samsung là lắng nghe người dùng thôi."
1,"Mình rất hài lòng với AirPods, loa phù hợp, ổn định."
0,"Không thể chấp nhận được Oppo, quá loạn."
0,"Gia vị món nem cuốn quá nguội ngắt, ăn không vô."
1,Chất lượng này cực kỳ đẹp
0,Máy chả đẹp
1,"Mình rất thích hải sản ở đây, quán phục vụ hấp dẫn, đồ ăn đặc sắc."
0,"Món bánh mì ở quán này đắng quá, ăn suốt mấy tháng là thấy không nuốt nổi."
0,Với tầm giá này mà Sony quá kém vậy là không đáng tiền.
1,"Mình rất thích lẩu ở đây, quán phục vụ quá đã, đồ ăn tươi."
1,"Con Vivo này dùng nhẹ, pin tuyệt vời."
1,Quán này mì quảng là hấp dẫn nhất rồi.
1,Trên cả ĐẸP.
0,"Kg có chức năng chống nước thì làm sao cạnh tranh với ss, quá tệ, nếu con Steve Job thì sẽ khác"
1,"Macbook thiết kế sang trọng, cảm ứng mượt."
0,Điện thoại ít hoàn hảo
1,"Mua AirPods cho con dùng, vợ khen nhanh."
0,"Không thể chấp nhận được Lenovo, quá quá kém."
1,"Mình rất hài lòng với Nokia, camera mỏng, vẫn mượt."
0,Dẫn vợ đi ăn pizza mà con chê ngấy quá.
1,"Không có gì để chê ở Samsung, quá mỏng."
1,"Món cơm tấm ngon hết sẩy, gia vị đậm đà."
0,Với tầm giá này mà Macbook lởm vậy là không đáng tiền.
0,"Gia vị món bánh xèo quá chán, ăn không vô."
0,Camera cực kỳ kém
0,"Không thể chấp nhận được món cơm tấm này, quá mặn."
1,Quán này sushi là chất lượng nhất rồi.
0,Xấu kinh dị
0,Dẫn em trai đi ăn gà rán mà bạn bè chê nhạt quá.
1,"Mình rất thích mì xào ở đây, quán phục vụ ngon miệng, đồ ăn chất lượng."
1,quá ngon.hi vọng mấy anh xách tay ăn lãi ít để em có cơ hội sử dụng :))
1,Dịch vụ này vô cùng đỉnh
1,"Món kem ở quán này ngon tuyệt cực kỳ, ăn một tuần vẫn ghiền."
0,Dịch vụ chưa mượt mà
1,"Ban co the ghe mat xem wa e Lenovo Yoga moi, theo ca nhan minh thay yoga thiet ke dep, cau hinh cung manh."
1,Với tầm giá này thì Asus là xuất sắc nhất rồi.
1,"Sony xuất sắc quá, xài một tuần rồi vẫn ổn định."
1,"Không có gì để chê ở món bánh mì này, quá đậm đà."
0,"mình cũng bị tình trạng này khi tắt TV Sony bằng điều khiển sau 1 thời gian nhất định, bật lên sẽ không có tiếng và mất quyền điều khiển. TV chỉ có thể trở lại trạng thái bình thường khi rút phích nguồn cắm lại."
0,Mua LG về dùng thử mà thấy giật quá.
1,"Lenovo đẳng cấp quá, xài hơn nửa năm rồi vẫn vô đối."
0,"LG mờ quá, xài vài hôm là thấy nhanh tã."
0,thật sự mình thấy asus gia công phần cứng rất ọp ẹp !!!
1,Quá đẹp . Ước ji nó mang hiệu của việt nam
1,Dịch vụ này quá mát
0,"nó nặng hơn, to hơn, màn bé hơn, pin yếu hơn."
1,"Mình rất hài lòng với Acer, cảm ứng bền, đẹp."
0,Máy khá dở
1,"Con iPhone này dùng nhẹ, pin vô đối."
1,Điện thoại này vô cùng xuất sắc
1,"Món mì xào ngon hết sẩy, gia vị thơm."
0,"Không thể chấp nhận được Oppo, quá lag."
1,Thiết kế này khá mát
1,"Mới tậu con LG này về, mạnh cực kỳ luôn."
0,"Giá k tốt bằng xiaomi, thấy xiaomi ok hơn."
1,"Không có gì để chê ở Huawei, quá hoàn hảo."
1,"Mình rất hài lòng với LG, bàn phím bền, không nóng máy."
0,"iPhone thiết kế bình thường, hiệu năng thì quá đơ."
1,"Dẫn em trai đi ăn bánh mì, mẹ khen quá đã."
1,"LG ấn tượng quá, xài hơn nửa năm rồi vẫn rất tốt."
0,Mua LG về dùng thử mà thấy kém quá.
0,"iPad thiết kế mờ, hệ điều hành thì mất sóng."
0,"Gia vị món sushi quá khô, ăn không vô."
0,Với tầm giá này mà Lenovo kém vậy là không đáng tiền.
0,Và camera lồi lên 3mm :v
0,Với tầm giá này mà Surface lag vậy là không đáng tiền.
1,Quá ổn so với tầm giá!
0,"Không thể chấp nhận được món gà rán này, quá dở."
1,"Ý kiến cá nhân: ĐT của Huawei rất tốt, đáng đồng tiền. Hài lòng với tiền bỏ ra."
0,"Món mì xào ở quán này chua lè quá, ăn cả tuần là thấy tanh rình."
1,"Mình rất thích cơm tấm ở đây, quán phục vụ thơm, đồ ăn thơm."
0,Asus làm rất tệ về độ sáng màn hình :)
0,"Con Lenovo này dùng lởm, pin sụt pin nhanh."
1,cá nhân thì thích wp
0,"Con LG này dùng lởm, pin vô dụng."
1,"Mình rất thích cà phê ở đây, quán phục vụ xuất sắc, đồ ăn đậm đà."
1,"Món phở ở quán này cuốn hút cực kỳ, ăn vài hôm vẫn ghiền."
0,"Apple Watch lag quá, xài cả tuần là thấy yếu xìu."
0,Càng ngày càng tệ.....hút máu liên tục lỗi nguyên cục..không hiểu ông tim cook làm gì với apple nữa...
1,"Món phở ở quán này ngon cực kỳ, ăn một tháng vẫn ghiền."
0,Dòng Asus trong tầm giá khi nào cấu hình cũng khủng nhất nhưng sài rồi mới biết nó ẹ nhất.
1,"Mới ăn thử trà sữa ở đây, vị tươi lắm luôn."
1,"Mình rất hài lòng với Surface, camera đáng tiền, mạnh."
0,"Realme loạn quá, xài vài tháng là thấy yếu xìu."
0,Chiêu quảng cáo thôi mà
1,"Là camera s7 mà, có gì mà phải review thêm."
1,"Món gỏi cuốn vị rất ngon, nước dùng làm rất sạch sẽ."
1,Quán này hải sản là chất lượng nhất rồi.
0,"Không thể chấp nhận được Huawei, quá quá tệ."
0,"Tôi dùng 4G ở Hà Nội mà toàn bị rớt xuống 3G, chập chờn. Mà cũng chả nhanh hơn là bao, ko ổn định bằng 3G."
0,"Mình rất thất vọng với Acer, hệ điều hành quá tệ, hay bị mất sóng."
1,Với tầm giá này thì LG là ổn định nhất rồi.
0,Mới mua con iPhone này về mà thấy chán cực kỳ.
1,Ngon thật. Xiao ra thêm cái mặt hiển thị đồng hồ thì đúng là đẹp. giá mượt qá
1,Với tầm giá này thì iPad là đẹp nhất rồi.
0,"Không thể chấp nhận được món cà phê này, quá chua."
0,Dẫn em gái đi ăn gỏi cuốn mà đồng nghiệp chê khét quá.
1,"Xiaomi nhẹ quá, xài vài hôm rồi vẫn vẫn mượt."
1,"Món vịt quay ở quán này thơm cực kỳ, ăn vài tháng vẫn ghiền."
1,"Mua Oppo cho chồng dùng, con khen hoàn hảo."
1,Màn hình này rất hoàn hảo
0,"Mình rất thất vọng với Asus, vân tay xấu, hay bị loạn cảm ứng."
0,Ôi cái giá hút máu
1,Thôi mua m5 đi!!!rất tuyệt vời!!!
1,"Smartphone mà phần mềm IOS + phần cứng của SS là hết ý, miễn chê lun!"
0,"Không thể chấp nhận được món bún chả này, quá nhạt."
1,Dùng ipad bền lắm.. vài đời android thì cái ipad nó mới hỏng.. sao bảo không bán đc
1,"Món sushi vị chất lượng, không gian làm rất giòn."
1,"Mới ăn thử mì quảng ở đây, vị chất lượng lắm luôn."
0,Mới ăn thử cơm tấm ở đây mà thấy quá tệ cực kỳ.
0,"Mình rất thất vọng với cà phê, đồ ăn khét, đồ ăn khét lẹt."
1,Ngon. Đỡ phải dùng thẻ nhớ.
0,Ngoại hình của em ấy  XẤU QUÁ
0,"Con Samsung này dùng không ổn, pin quá cùi."
1,"Dẫn người yêu đi ăn vịt quay, đồng nghiệp khen chất lượng."
1,"Dẫn bố đi ăn hải sản, bạn bè khen đặc sắc."
0,"Gia vị món gỏi cuốn quá quá dở, ăn không vô."
0,"Sony Z các đời 1- 5 hay bị lỗi nguồn, hết kiệt pin sạc lại không vào phải dung kích và sạc qua 1 đêm, màn hình hay bị cháy loang trắng ngay cạnh phím nguồn, các nắp thẻ, sim ở cạnh hay bị rơi ra do gioăng cao su hư,...còn rất nhiều lỗi các bạn"
0,"Không thể chấp nhận được món sushi này, quá chua lè."
1,"Dẫn chồng đi ăn trà sữa, em trai khen chuẩn vị."
1,"Đang dùng con macbook cao nhất trên bài ,mọi thứ quá tuyệt"
1,"Mua Macbook cho em trai dùng, vợ khen ấn tượng."
1,"Mua Realme cho đồng nghiệp dùng, đồng nghiệp khen mạnh."
0,Sản phẩm không tuyệt vời
0,Dùng loại này nhanh tã máy lắm bạn. Pin thì khỏi phải nói. Rất ảo và nhanh sụt pin
0,Với tầm giá này mà Oppo nóng vậy là không đáng tiền.
0,"Gia vị món mì xào quá quá kém, ăn không vô."
1,Camera này hoàn toàn đỉnh
1,"Apple Watch thiết kế cao cấp, camera vẫn mượt."
0,Mới ăn thử pizza ở đây mà thấy nguội ngắt cực kỳ.
0,Mới ăn thử lẩu ở đây mà thấy đắng cực kỳ.
0,Mình đang xài cục Anker 13.000 và rất hài lòng với em nó. Mua trên Amazon chỉ có $27 Thiết nghĩ cục Asus này so với Anker chắc ko có cửa rồi
0,Mới mua con Realme này về mà thấy quá tệ cực kỳ.
0,"HP lởm quá, xài cả năm là thấy quá chán."
1,"Món gà rán vị ngon tuyệt, món ăn làm rất tươi."
1,"mình thì dùng con s4 gần 3 năm rồi, vẫn ngon lành, samsung thì cứ dòng s với note mà chiến"
0,"32 bít RAM 2GB đã không chạy nổi rồi, giờ lên 64 chắc chịu"
1,Ban mua MI 4 của xiamao hơn tuy là của tàu nhưng dùng sướng hơn samsung và sony cấu hình hơn hẳn
1,"Mua LG cho em trai dùng, bố khen ngon lành."
1,"Dẫn em gái đi ăn sushi, con khen giòn."
1,Asus ngày càng hoàn thiện mình
0,Mới mua con Realme này về mà thấy lỗi cực kỳ.
1,"Realme thiết kế ngon lành, vân tay rất tốt."
1,"Món vịt quay ngon hết sẩy, gia vị vừa vị."
1,Thiết kế này khá đỉnh
0,có ai thấy màu xấu quá ko. nhìn cứ dại dại. và 2 cạnh trên dưới thừa quá nhiều. điểm yếu cố hữu của sony
0,"Không thể chấp nhận được Samsung, quá chậm."
1,"Không có gì để chê ở Xiaomi, quá ấn tượng."
0,"Món trà sữa vị không tươi, không đáng tiền tí nào."
0,Nút “quay lại” vô cùng tiện lợi thì không có nhưng lại có nút “chuyển đổi chế độ rung - chuông”. Có lẽ Apple để dần nhận ra sự ngớ ngẩn.
0,"Nếu chọn 1 trong 2 máy trên thì mình khuyên bạn mua samsung vì sony m4 aqua đang vướng lỗi bộ nhớ trong còn rất ít để cài ứng dụng, bạn có thể google để rõ hơn, nếu thích sony bạn có thể mua dòng khác, good luck"
0,Mới ăn thử bánh xèo ở đây mà thấy khô cực kỳ.
0,Dẫn mẹ đi ăn cơm tấm mà đồng nghiệp chê nguội ngắt quá.
0,"Món gỏi cuốn vị khét, không đáng tiền tí nào."
0,"Món nướng ở quán này thiu quá, ăn cả tuần là thấy không đáng tiền."
0,"Gia vị món phở quá khô, ăn không vô."
0,"Không thể chấp nhận được Macbook, quá tệ."
0,Mới mua con iPhone này về mà thấy chậm cực kỳ.
0,"Món bún chả vị chán, không đáng tiền tí nào."
1,"Con Asus này dùng xuất sắc, pin ok lắm."
0,"Con Asus này dùng lag, pin hết pin nhanh."
1,"Con Huawei này dùng đẹp, pin ok lắm."
0,Sản phẩm rất kém
1,"Vận động viên ở hồ bơi, cứu hộ này nọ hoặc lái tàu, thuyền buồm du lịch nữa...khá ngon, đa dụng"
1,"Winphone cũng là lựa chọn tốt cho tính ổn định, an toàn và hiệu suất cao."
0,Mới mua con iPhone này về mà thấy kém cực kỳ.
1,"Mình rất hài lòng với HP, hệ điều hành bền, đẹp."
1,"Samsung số 1, quá tuyệt vời."
0,"Vivo quá tệ quá, xài mấy ngày là thấy chán hẳn."
1,"Mình rất hài lòng với Sony, hiệu năng tốt, dùng rất sướng."
0,"Oppo chán quá, xài một tháng là thấy quá chán."
1,"Mới tậu con Asus này về, xuất sắc cực kỳ luôn."
0,"Mình rất thất vọng với bún chả, đồ uống khét, đồ ăn nhạt nhẽo."
1,"Con tab s2 là ngon nhất, ipad cho những người thiếu hiểu biết công nghệ dùng thì ổn."
0,"Apple Watch bình thường quá, xài suốt mấy tháng là thấy quá chán."
1,"Mobile star phơi khủng dữ, so phơi với Lumina 1520 xem sao mod ơi"
